,sentence,term,page_number,file_name,word,tag,word_labels
50029,ծանոթ օրբելին ինչպես և մենք այս և հաջորդ վիմագրերը տեղում չենք նկատել ուստի ներկայացնում ենք կ բասմաջյանի վերծանությունները,վիմագրերը,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O"
50030,ծուպուլի որդի սիմեոնը հիշատակվում էր նաև լմբատավանքի վիմագրերից մեկում արձ խմբ,վիմագրերից,,Divabn_Prak10,ծուպուլի,O,"O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50031,ակնհայտ է որ վիմագիրը վկայում է մի քանի նվիրատվությունների մասին,վիմագիրը,,Divabn_Prak10,ակնհայտ,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50032,ծանոթ հրատարակել է միայն ակադ ն սառը ռուսերեն որը չնկատելով առաջին տողում առկա ն թվագիրը վիմագիրը համարել էանթվական սակայն նկատի առնելով վաղարշապատի քքաղաքուդաշտ անունով հիշատակումը ինչպես նաև լեզվաոճական անհարթություններն ու այլ պատմական իրողություններ թվագրել է դարով,վիմագիրը,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50033,վիմագիրը փաստում է որ ս կարապետի և ս ստեփանոս նախավկայի անունները կրող տածարը նորոգվել է թ վաղարշապատից ժամանած հակոբ քահանայի նախաձեռնությամբ կամ միջոցներով,վիմագիրը,,Divabn_Prak10,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50034,հ եղիազարյան սարմաշենի վանքը և նրա վիմագրությունները էջմիածին ե էջ,վիմագրությունները,,Divabn_Prak10,հ,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O"
50035,շինարարական վիմագրում եկեղեցու հիմնարկման թվականը կարդալով նևե իրականում՝ նլէ խմբ իսկ ավարտը թ թորամանյանը,վիմագրում,,Divabn_Prak10,շինարարական,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50036,գ եղիազարյան սարմաշենի վանքը և նրա վիմագրությունները,վիմագրությունները,,Divabn_Prak10,գ,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O"
50037,գքյուրտյանը այս վիմագիրը նույնպես հարկ չի համարել ներկայացնել քանի որ հրատարակուած է շիրակ ի մէջ,Վիմագիր,,Divabn_Prak10,գքյուրտյանը,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50038,այդ վիմագրերը վերջերս հրատարակվեցին մատենադարանի ավագ գիտաշխատող արմեն տեր ստեփանյանի աշխատասիրությամբ,վիմագրերը,,Divabn_Prak10,այդ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50039,ծանոթ հովհ նահխաթունյանցը չունի թվականը իսկ ս ջալալյանցն ուղ ալիշանը ոխ հ եղիազարյանն ու գ հառիճեցին ուե իսկ ս գեորգյանցըև հ քյուրտյանի վիմագրահավաքը ոխե,վիմագրահավաքը,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O"
50040,որպես ուղենիշ ունենալով ս բարխուդարյանի կազմած պրակի ձեռագիրը և դաշտային օրագիրը նաև նկատառելով հուշարձանների պահպանվածության և վիմագրերի վերծանության գրեթե հիսնամյա հեռավորությամբ պայմանավորված իրողությունները տեղում համեմատել վիմագրերը,վիմագրերի,,Divabn_Prak10,որպես,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50041,թյուրտյանի վիմագրահավաքը նվիրատուիանունը կարդացել էեատ ախէկ գ հառիճեցին տ աղեկ,վիմագրահավաքը,,Divabn_Prak10,թյուրտյանի,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50042,անհրաժեշտության դեաքում թվային ծոտոխցիկներով լուսանկարել պրակում լուսանկար չունեցող կամ անորակ լուսանկարված վիմագրերը,վիմագրերը,,Divabn_Prak10,անհրաժեշտության,O,"O,O,O,O,O,O,O,O,O,O,O,B-INSC"
50043,դատելով բովանդակությունից արծանագրությունը պիտի ավարտվեր նվիրագրերին հատուկ նզովքի բանածևով որից մի փոքր հատված պահպանվել է,նվիրագիր,,Divabn_Prak10,դատելով,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50044,գրիգոր առաջնորդի տապանագրի թվականի ուշադիր զննումը թույլ տվեց այն վերծանել ուը թ,տապանագրի,,Divabn_Prak10,գրիգոր,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O"
50045,նինությունների որմերին առկա են դ բազմաթիվ նվիրագրեր ու հիշատակագրություններ ինչը չի կարելի ասել հետագա դարերի մասին,նվիրագիր,,Divabn_Prak10,նինությունների,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50046,գերեզմանատներից հին տապանաքարերը անմշակ և անտապանագիր են մյուսները նույնպես միայն րդ դարի տապանագրեր ունեն,տապանագրեր,,Divabn_Prak10,գերեզմանատներից,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50047,ատեր ստեփանյան վիմագրերը սատենադարանի ձեռագրերում վարձք,վիմագրերը,,Divabn_Prak10,ատեր,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O"
50048,եթե խաչի ձորի վիմագրերը թերևս չէին կարող լինել քանի որ դրանք հետագայում էին հայտնաբերվել ապա բուն մարմաշենի խիստ արժեքավոր վկայագրերին չանդրադարձը՝ տարակուսելի է,վիմագրերը,,Divabn_Prak10,եթե,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50049,վերծանության մեջ խնդիր է ստեղծում և մ տառերի որոշ նմանությունը ստայլկ սմայ այ իրսն բառի առաջին տառի կիսեղծ լինելը ու վերջին ն տառի կցագրությունը ինչը չնայած ս տառի աջ ստեղնի վերևում ն ի վերին կիսակլորիթույլ արտահայտվածությանը կասկածէհարուցում քանի որ վիմագրում,վիմագրում,,Divabn_Prak10,վերծանության,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC"
50050,նույն վիմագիրը տեղեկություններ է հաղորդում նաև վանքի պարսպապատման մասին որից ներկայումս մի փոքր հատվածէ պահպանվել,Վիմագիր,,Divabn_Prak10,նույն,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50051,թվագրման կապակցությամբ նա գտնում է որ հինգերորդտողի բարեխոսութեան և վեցերորդի՝ հավատացելոց բառերում ո և վ տառերի գործածությունը համապատասխանաբար աւ ի և ի փոխարեն հուշում է այն մասին որ վիմագիրն ավելի ուշ շրջանի փորագրություն է,վիմագիրն,,Divabn_Prak10,թվագրման,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50052,ձեռագրի հառիճավանքի վիմագրերը սույն հատորում կրում են հետկյալ կարգային համարները ի իս ժե էբ էա,վիմագրերը,,Divabn_Prak10,ձեռագրի,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50053,ոգեվանքի որմերին և ներսում հավաքված կոթողների բեկորներին պահպանվել են մեկ տասնյակից ավելի վիմագրեր կիսեղծ վիմակում ինչը մասամբ պայմանավորված է տուֆաքարի որակով,վիմագրեր,,Divabn_Prak10,ոգեվանքի,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50054,ծանոթ քյուրտյանը վիմագիրը համեմատելով ալիշանի հրապարակման հետ գրում է տարբերութիւն չկայ բացի միայն վերը յառաջ բերուած մասեն որով աւելորդ նկատեցի ամբողջ արձծանագրութիւնը տալ հոս,Վիմագիր,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50055,մեծ հետաքրքրություն է ներկայացնում մեր դիտարկմամբ վիմագրերում առաջին անգամ հանդիպող արդիւնարար բառեզրը որը մեկնաբանվում է երկրագործ մշակ վաստակաւոր ժիր և փոյթ ի գործ հասարակած եղև այր արդիւնարար նբհ հ էջ,Վիմագիր,,Divabn_Prak10,մեծ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50056,ուշագրավ է նաև վիմագրում բառանջատումը փոքր խաչանշաններով արտահայտելու ձևը,վիմագրում,,Divabn_Prak10,ուշագրավ,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50057,կառույցի որմերին պահպանվել են դ վիմագրեր որոնցից մեկն ունի պատմական որոշակի հետաքրքրություն հարկ համարեցինք դրանք զետեղել պրակում,վիմագրեր,,Divabn_Prak10,կառույցի,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50058,ծանոթ վիմագրի համածայն եկեղեցին երկրորդ անգամ նորոգվել է դեռևս ին ներսես ե աշտարակեցի կաթողիկոսի և եկեղեցու նորընծա նորօծյալ քահանա տեր գրիգորի օրոք,վիմագրի,,Divabn_Prak10,ծանոթ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50059,մեր այս տեսակետը հիմնավորվում է վիմագրում հիշատակված անձանց և իրադարձությունների ժամանակագրության մոտավոր ճշգրտմամբ,վիմագրում,,Divabn_Prak10,մեր,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50060,եղիազարյանը վիմագրի սաստիկ մաշված ու ջարդոտված լինելու հետևանքով վերծանությունը վերցրել ղ ալիշանից այն դեպքում երբ այն առկա ալիշանին նախորդածհեղինակների մոտ,Վիմագիր,,Divabn_Prak10,եղիազարյանը,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50061,վիմագրի բովանդակության մասին ս բարխուդարյանը գրում է հետեյալը,վիմագրի,,Divabn_Prak10,վիմագրի,B-INSC,"B-INSC,O,O,O,O,O,O,O"
50062,նկատառելովանվան եզակիությունը և գործունեության աշխարհագրական մերձակայությունը կարծում ենք որ տիրաշենի ուրտուրիտան մրենի համանուն տիկինն է ըստ այդմ է վիմագիրը կարելի էթվագրել ական թվականներով,վիմագիրը,,Divabn_Prak10,նկատառելովանվան,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O"
50063,գասպարյան ռուբեն գաւրգ հիշատակված է փակագրի ձևով գէորգ առաջնորդ հոգեվանքի,փակագիր արձանագրություն,,Divabn_Prak10,գասպարյան,O,"O,O,O,O,O,O,O,O,O,O"
50064,վիմագրի թվագրման հարցում ս բարխուդարյանի մատնանշումը սպասալարների օրոք բավական պայմանական է,վիմագրի,,Divabn_Prak10,վիմագրի,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O"
50065,ծանոթ չափածո տապանագրից պարզվում է որ տեր համբարձում գրիգորյանը ծագումով ալեքսանդրապոլի գավառի իլխինապ իլխիաբ իլխիաբի գյուղից է որը ներկայիս ախուրյանի տարածաշրջանի այգաբաց գյուղն է տեղանունների բառարան էջ,տապանագրից,,Divabn_Prak10,ծանոթ,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50066,վիմագիրը տառաձևերով բավական նման է նախորդին կարծում ենք ժամանակամերծ է հնարավոր է որ փորագրված է նույն գրչի կողմից,վիմագիրը,,Divabn_Prak10,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50067,գյուղի եկեղեցին վիմագրերով աչքիչի ընկնում,վիմագրերով,,Divabn_Prak10,գյուղի,O,"O,O,B-INSC,O,O"
50068,աւագտիկին հիշատակված է բագնայրի վանքի մի նվիրագրում,նվիրագիր,,Divabn_Prak10,աւագտիկին,O,"O,O,O,O,O,O,O"
50069,բավական վատ է պահպանվել վիմագրի աջ հատվածը ըստ այդմ կ վերծանությունը թեական է,վիմագրի,,Divabn_Prak10,բավական,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,O"
50070,վիմագիրը փաստում է որ եփրեմ մ աշա կաթողիկոսի օրոք ռուսաց նիկոլայ կայսրը հաղթական պատարա մղել ինչպես պարսից այնպես էլ օսմանյան բանակների դեմ իր տիրապետությունն ըդարնակեո կարինու մինչ ի թավրեզ,վիմագիրը,,Divabn_Prak10,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50071,գ հառիճեցու մոտ վիմագիրը սկզբից և վերջից պակասավոր է,վիմագիրը,,Divabn_Prak10,գ,O,"O,O,O,B-INSC,O,O,O,O,O"
50072,դառնալով վիմագրում վկայակոչված պատմական իրադարձության քննու,վիմագրում,,Divabn_Prak10,դառնալով,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O"
50073,մելքոնյանն իր հոդվածում հիշատակում է հյուսիսային հրմի բարավորի կամարակապ քարին պահպանված թ ը թվագիրը մելքոնյան էջ իսկ նույն որմի արևելյան մասում ելնդատառ բայց եղծված հետեյալ երկտող վիմագիրը յո,վիմագիրը,,Divabn_Prak10,մելքոնյանն,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O"
50074,կառուցել աջնորդության ժամա գեղիազարյան հառիճա վանքը և նրա վիմագրությունը էջմիածին ը թ էջ,վիմագրությունը,,Divabn_Prak10,կառուցել,O,"O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50075,ծանոթ վիմագիրը տիրամոր յոթ վերքը սրբապատկերի դեգերումների քարեղեն վկայությունն է ըստ որի էրզրումի նահանգի համանուն գավառի ասանղալա գյուղի ս աստվածածին վանքից թ պողոս ծայրագույն վարդապետի ձեռքով այն բերվել է հառիճավանք որտեղ ավելի քան երկու տասնամյակ մնալուց հետո ներսես ե աշտարակեցի կաթողիկոսի հրամանով տեղափոխվել է ս էջմիածին,Վիմագիր,,Divabn_Prak10,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50076,ամակառույցի վիմագրերը ներկայացված են օրբելու վերծանությունների հիմամբ և նրա կարճառոտ ծանոթագրություններով,վիմագրերը,,Divabn_Prak10,ամակառույցի,O,"O,B-INSC,O,O,O,O,O,O,O,O,O"
50077,այս արհեստավարժ քարգործին անդրադարձել է ս բարխուդարյանը մ վ էջ դարիգրիչներից առաջինը հիշում է նրան հիմք ընդունելով բագնայրի վանքի ս աստվածածին եկեղեցու արևմտյան մուտքի ծախ կողմում արտաքուստ ավագտիկնոջ նվիրատվական քառատող արձանագրությունը որը ստորագրել է մանասէ գրիչ ը կ բասմաջյան հասբս էջ,Նվիրատվական արձանագրություն,,Divabn_Prak10,այս,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50078,գլխավոր ս կարապետ եկեղեցին ըստ հյուսիսային մուտքի բարավորի արձանագրության կառուցվել է թ,բարավորի արձանագրության,,Divabn_Prak10,գլխավոր,O,"O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50079,այսչափ առատհուշարծձաններիշարքում պատմամարտարապետականբնութագրովև վիմագրերի առկայությամբ հատկանշելի է միակ վանական համակարույցը՝ հոգեվանքը որը թիկնել է գյուղ տանող ճանապարհի աջ կողմի բլրալանջին,վիմագրեր,,Divabn_Prak10,այսչափ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50080,ամալիրի բարգաված ու աշխույժ վանական կյանքի մասին են վկայում վիմագրում պահպանված գանծագին այգիների օշականից դողսից աշտարակից կարբիից վժանից ներկայիս ուջան սերկպլիից մրենից ագարակների ջաղացների տներ կուղպակների ավանդման փաստի առնչությամբ հիշատակությունները,վիմագրում,,Divabn_Prak10,ամալիրի,O,"O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50081,ծանոթ այս տապանագիրը մեզ չհաջողվեց գտնել ուստի վկայակոչում ենք ըստ նախորդ հրատարակչի,տապանագիրը,,Divabn_Prak10,ծանոթ,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O"
50082,տապանագիրը վերջում անավարտ էմնում կամ փորագրիչը պարզապես չի շարունակել,տապանագիրը,,Divabn_Prak10,տապանագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O"
50083,սենք ևս այս և վերոնշյալ տապանագրերը տեղում չգտանք,տապանագրերը,,Divabn_Prak10,սենք,O,"O,O,O,O,O,B-INSC,O,O"
50084,հ օրբելին հրատարակել է այս վիմագիրն ընդգրկող շինաքարերից միայն մեկին պահպանված հատվածը,վիմագիրն,,Divabn_Prak10,հ,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O"
50085,յավոք երկուսն էլ չեն ներկայացրել վիմագրի ամբողջական վերծանությունը՝ և ինչպես ս բարխուռարյանն է նշում արծանագրության վերականգնման աշխատանքը թողնում ենք ներկայացնում ենք գծագիր պատճեն,վիմագրի,,Divabn_Prak10,յավոք,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50086,սև շրջանակներով նշված են այն բնակավայրերը որտեղից պրակում վիմագրեր են ներառվել,վիմագրեր,,Divabn_Prak10,սև,O,"O,O,O,O,O,O,O,O,B-INSC,O,O"
50087,վկայագիրնաչքիէընկնումուշագրավուհազվադեպհանդիպող փաստերովու արտահայտություններով զաքարեն հիշված է իր բոլոր պաշտոնական տիտղոսներով ամիրսպասալար շաֆնէայ եւ մանդատորթախուցայս վիմագրերում խիստ սակավ է հիշատակվում սարգիս զաքարյանի կնոջ քուրդ մահկանաբերդցի իշխանի դուստր սահակադուխտի անունը սկզբնադբյուրներում առաջին անգամ է վկայված բռնավորաց հարկ սոցիալ իրավական բառեզրը որն առայժմ դժվարանում ենք մեկնաբանել,վիմագրերում,,Divabn_Prak10,վկայագիրնաչքիէընկնումուշագրավուհազվադեպհանդիպող,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50088,տիրացու կարապետը թերևս վիմագրում վկայվածհամանուն քանդակագործնէ ըստ այդմ պարզվում էնաև կարապետի տիրապետած արհեստը,վիմագրում,,Divabn_Prak10,տիրացու,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50089,ցանոթ տապանագիրն առաջինհայացքից անավարտէ,տապանագիրն,,Divabn_Prak10,ցանոթ,O,"O,B-INSC,O,O,O,O,O,O"
50090,ավագյան վաբ ս ավագյան վիմական արձանագրությունների բառաքննություն երևան,վիմական արձանագրություն,,Divabn_Prak10,ավագյան,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O"
