sentence,term,page_number,file_name,word,tag,word_labels
նաթէլ պարոն ննջեցյալ նաթէլ տիկին ննջեցյալ նահայպետ հայր ովանէս աբեղայի նաղանա խաթուն կին սուլթանդուլին ննջեցյալ նաղար հիշատակագիր նաճմաղին սպանված մսրում րաղղաղ նանէ հողամասի նվիրատու նասիտ,հիշատակագիր,425.0,Divan_Prak3,նաթէլ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O"
նատարդուլի վաղամեռիկ նարինջ մերձավոր հութլուբեկի նարկիղ որի հիշատակին խաչքար է կանգնեցված նացան հիշատակագիր ներսէս նահատակված է ներսէս քահանա վաղամեռիկ ներսէս տէր ասաջնորգ յախաց քարի վանքի նիկողոս որի հիշատակին խաչքար է կանգնեցրել մելիք բէկը նիկողոս կանգնեցնող խաչքարի նիօհայոս ննջեցյալ որղի խաթունճանի նորպետ տե՛ս նորպետի այգի նալուն նվիրատու կին հասանի նջիս նրջիս ննջեցյալ նրջսհի հիշատակագիր,հիշատակագիր,425.0,Divan_Prak3,նատարդուլի,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC"
սարգիս ծրող գրել է քարկոփի վանքի նորոգման արձանագրությունը,նորոգման արձանագրություն,427.0,Divan_Prak3,սարգիս,O,"O,O,O,O,O,O,B-INSC,O"
գանձակ ենգիջա միկոյան քեշիշքենզ գնիշիկ ա խալ ուղ շրջակայքր և քարկոփի վան դ էղեգիսի ձոր րւանք նրանոիւ և տրկոիի ալայաղ գյող ա լուսանկարներ արատեսի վանք այսասի գկուլուղյ ցանկ արձանագրությունների մեջ հիշատակված ահերմոնի հերմոնի վաաք անձնանունների և տոհմանունների ցաղաց քար վանք ի ո անկ վիմական արձանագրությունների մեջ հիշատին գյուղ և շատիվանք շատակված տեղանունների և հոգարձանների,վիմական արձանագրությունների,437.0,Divan_Prak3,գանձակ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O"
դարի վերջերին սոդք վարդենիսի դաշքենդ գյուղում կառուցված եկեղեցու արձանագրության մեջ որպես երկրի տերեր են հիշատակված նույն վախթանգյան դոփյան իշխանները՝ հասան ու մամքան գրիգոր և ասփա,եկեղեցու արձանագրության,8.0,Divan_Prak4,դարի,O,"O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
եկեղեցու հարավային պատի վերին մասում արտաքուստ մեծ տրձանագրության տակ տող,եկեղեցու ... արձանագրության,24.0,Divan_Prak4,եկեղեցու,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O"
թե ը ծանոթ առջեում կա մեծ տապանաքար առանց տապանագրի,տապանագրի,29.0,Divan_Prak4,թե,O,"O,O,O,O,O,O,O,O,B-INSC"
մանոր դիմացը մեծ տապանաքար է առանց տապանազրի,տապանազրի,30.0,Divan_Prak4,մանոր,O,"O,O,O,O,O,O,B-INSC"
մանոթ եկատի անենալով պահպանված այս տապանագրերի մեջ գործածված անունները և թվականները՝ հնարավոր է ենթադրել որ մելիք թանգրիդուլին այն անձնավորությունն է որն ստորագրել է գեղարքունիքը տաթեի թեմ հաստատող փաստաթուղթը և որի,տապանագրերի,32.0,Divan_Prak4,մանոթ,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
այս երկու արձանագրությունները թեե թվագրված չեն րայց նախորդ իրենց որդիներին վերաբերող տապանագրերից դատելով՝ ավելի հին տիաի լինեն զարի վերջ կամ հաջորդի սկիգրը,տապանագրերից,59.0,Divan_Prak4,այս,O,"O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O"
մենք ուէէ ր նենը տապանագիրը որ հաստատում է այս,տապանագիրը,93.0,Divan_Prak4,մենք,O,"O,O,O,O,B-INSC,O,O,O,O"
տապանագրեր որոնք այժմ չկան,տապանագրեր,120.0,Divan_Prak4,տապանագրեր,B-INSC,"B-INSC,O,O,O"
հետաքրքիր է նշել որ թվականին վերաբերող տապանագրերի առատությունը այն էլ իրար կողքի դրված և նույն ընտանիքի անդամներին վերաբերող դերեղմանաքարերից՝ վկալում են այդ թվականին պատահած որևէ աղետի մասին թերես համաճարակ հիվանդության,տապանագրերի,180.0,Divan_Prak4,հետաքրքիր,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
արձանագրությունը համարում ենք շինարարական,շինարարական,181.0,Divan_Prak4,արձանագրությունը,O,"O,O,O,B-INSC"
եկղյռսնորոգէռն ատարված վերանորողման աշխատանքներին,Վերանորոգման,252.0,Divan_Prak4,եկղյռսնորոգէռն,O,"O,O,O,O,O,O,O,O"
հյուսիո արեմայան անկյանում՝ պատկից կա փսքը մատառ ավելի հին որը շենքի վերանորողման ժամանակ,Վերանորոգման,255.0,Divan_Prak4,հյուսիո,O,"O,O,O,O,O,O,O,O,O,O,O,O,O"
պարսամ հիշատակված է սբ աստվածածին եկեղեցու արձանագրության մեջ,եկեղեցու արձանագրության,511.0,Divan_Prak4,պարսամ,O,"O,O,O,O,O,B-INSC,I-INSC,O"
անմեռ անմեռնափոր հիշատակված է մաքենյաց վանքի արձանագրության մեշ,վանքի արձանագրության,518.0,Divan_Prak4,անմեռ,O,"O,O,O,O,O,B-INSC,I-INSC,O"
ցանկ վիմական արձանագրությունների մեջ անձնանունների և տոհմանունների,վիմական արձանագրություն,529.0,Divan_Prak4,ցանկ,O,"O,B-INSC,O,O,O,O,O,O,B-INSC,O,O,O,O,O"
ցանկ վիմական արձանագրությունների մեջ տեղանունների և հուշարձանների,վիմական արձանագրություն,529.0,Divan_Prak4,ցանկ,O,"O,B-INSC,O,O,O,O,O,O,B-INSC,O,O,O,O,O"
մանոթ չորրորդ տողում փակագիր անունը մենք վերծանում ենք թամթէ նկատի ունենալով նույն տեղում հիշատակված մեծ իշխան էլիգում անունը որին համարում ենք օրրելլան որ սպանվեց նփրկերտի արշավանքում՝ թ և որի կնոջ անունը թամթա էր,փակագիր,18.0,Divan_Prak5,մանոթ,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
եկեղեցու բարավորի վրա տող,բարավորի,35.0,Divan_Prak5,եկեղեցու,O,"O,B-INSC,O,O"
ծանոթ փակագիրը մի երկար անուն պիտի լինի,փակագիրը,47.0,Divan_Prak5,ծանոթ,O,"O,B-INSC,O,O,O,O,O"
տաճար հյուսիսային պատին արևելյան խորշի մոտ արտաքուստ փակագիր՝,փակագիր,50.0,Divan_Prak5,տաճար,O,"O,O,O,O,O,O,O,O"
պարսպի արևելյան մուտքին արված որպես բարավոր մեծ ղերեղմանորամ և ա է հանդիստ ազատին աղաւթ անաթսշց,բարավոր,74.0,Divan_Prak5,պարսպի,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O"
պատերին եղած երկու արձանագրութլունը հալտնում են որ այն շինվել է թ իսկ սեղանը թ դրանք չենք վերցնում բայց ինչպես շենքի կառուցման ձևերը այնպես էլ շուրջը եղած տապանաքարերն ունրանց տապանագրերն ապացուցում են որ դարում մեծ նորոգումներ են կատարվել միայն,տապանագրերն,95.0,Divan_Prak5,պատերին,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O"
բակում տնտեսական շենքի անկյունաքարի վրա փակագիր տող,փակագիր,101.0,Divan_Prak5,բակում,O,"O,O,O,O,O,B-INSC,O"
ներկայիս կանգուն բոլոր շենքերի շինարարական արձանագրությունները և շինել տվողները հալտնի են,շինարարական արձանագրությունները,129.0,Divan_Prak5,ներկայիս,O,"O,O,O,O,B-INSC,I-INSC,O,O,O,O,O"
գերեզմանաքար սպիտակավուն քարից է երկթեք և կափարիչաձև կոտըրված է երկու մասի ղրերը մաշված են և տեղ տեղ ջարդոտված տապանագիրը թեքության մի երեսին է տող,տապանագիրը,136.0,Divan_Prak5,գերեզմանաքար,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
տապանագրեր ս հովհաննես եկեղեցուն կից շինված մելիքական տապանատան մեջ,տապանագրեր,178.0,Divan_Prak5,տապանագրեր,B-INSC,"B-INSC,O,O,O,O,O,O,O,O"
գոլության ունեցող շենքերը բոլորն էլ դարի կառուցումներ են բայց գրանց պատերի մեջ ագուցված հին տապանաքարերի ու խաչքարերի վրա եղած տապանագրությունները հասնում են մինչև դարի առաջին կեսը նույնը նաև բակում գտնվածների վրա,տապանագրությունները,187.0,Divan_Prak5,գոլության,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O"
տապանաքար մեծ օրորոցաձև գտնվում է նախորդների մոտ հարավային երեսին չորս խաչեր ու զարդաքանդակներ իսկ երեք շրջանակներին՝ տապանագիրը արևելյան ճակատին՝ հիշատակագրությունը՝ տող այսէհանգիսբարէաղտվալիճհանայոր այս է հանգիստ բարէպաշտ,տապանագիրը,188.0,Divan_Prak5,տապանաքար,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
եղնասար վանքի սենյակներից մեկի հակատակալ քարին փակագիր ե չորս տող,փակագիր,238.0,Divan_Prak5,եղնասար,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O"
եղնասար վանքի մի այլ սենյակի մուտքի ճակատին փակագիր՝,փակագիր,238.0,Divan_Prak5,եղնասար,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
պահպանված վիմական արձանագրությունների հնագրական հատկությունների ուսումնասիրությունից երևում է որ այստեղ գործել են հմուտ փորագրող գծողների և կաղմող նկարիշների բազմաթիվ սերունդներ որոնք ստեղծել են վիմագրության իրենց ինքնուրույն ոճն ու դպրոցը՝ ճոխացնելով ավանդներով հարոստ հայկական հնագրության մշակույթը,վիմական արձանագրություն,8.0,Divan_Prak6,պահպանված,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
սույն պրակում տեղավորված վիմական արձանագրությունները մեծ մասամբ վատ են պահպանվել ժամանակի բնության և մարդու ավերածությունների հետևանքով շատ բնագրեր հողմահարվել եղծվել անընթեռնելի են դարձել և դժվար են վերականգնվում,վիմական արձանագրություն,8.0,Divan_Prak6,սույն,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
հավանաբար երկու դեպքում էլ նվիրատվությունը բեւ ասին արձանագրելը տեղի է ունեցել եկեղեցու կառուցումն ավարտելուց րեաւո րօտ որում նկեզ ցին շինվել է թ իսկ մայրացյալի նվիրագիրը փորագրվել՝ թ,նվիրագիր,14.0,Divan_Prak6,հավանաբար,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ալս կարգի բաղադրլալ անձնանունների մասին ավելի մանրամասն կարելի է իմանալ՝ ս ավագյան վիմական արձանագրությունների հնչլունաբանութլուն էջ,վիմական արձանագրություն,16.0,Divan_Prak6,ալս,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
հարավալին տապանաքարը կրաքարից է մանր բեկորների է վերածվել տապանագիրը եղծվել ուստի չի իմացվում թե ում գերեզմանն է,տապանագիրը,23.0,Divan_Prak6,հարավալին,O,"O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
արձանագրություններով սույն ժողովածուում տեղահաղաոծնի վանքը գարուաան ցիկաոանայայ եո փոքր վիմագրեր որոնք կարևոր աեզարհած են հուշարձանների մկերլ ենի և մահկանաբերդի գավառների քաղաքական պատմության ղեկություններ են հաղորդու ար նների մշակուլթի ու կենցաղի մասին,վիմագրեր,24.0,Divan_Prak6,արձանագրություններով,O,"O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
աղարժնի վանքի վիմագրերի առավել ընդարձակ հավաքածուն վանկմնիւս էհ դորաարյանին որը էջմիածին ամսագրի թ երեք համարներում հրատարակա ի հոդվածում համառոտ նկարագրելով հուշարձանախմբի կառուցվածքները ներկալացնում է անց պատերին փորագրված շուրջ բնագրերը սեփական նախորդների համեմատությամբ րա ապես հարազատ վերծանություններով սակայն առանց հետևելու ժամանակակից արձանագրագիտության մեջ ընդունված հրապարակման կանոններին և առանց զետեղելու այդ բնագրերի մեկնները,վիմագրեր,24.0,Divan_Prak6,աղարժնի,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
հաղարծնի վիմագրերից միայն մեկն է սույն պրակի արժտնացել պատմաբանասիրական հանգամանալի հետազոտության և գիտական հրապարակման՝ ս երեմլանի և լ մելիքսեթ բեկի հոդվածներում,վիմագրեր,24.0,Divan_Prak6,հաղարծնի,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ներկա ժողովածուն հաղարծնի վանքի վիմագրերի լիակատար հավաքածուն է և հրատարակվում է առաջին անգամ,վիմագրեր,24.0,Divan_Prak6,ներկա,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O"
հավանական է մտածել որ իվանեի խոսքը ոչ թե գավիթը ի նորո շինելու մասին է այլ նորոգելու վերականգնելու ըստ որում շինել բայը վիմագրության մեջ հաճախ արտահալտում է նաև նորոգելու իմաստ,վիմագրության,26.0,Divan_Prak6,հավանական,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
էտվաք բալաձևում է նախահավելվածը կիրառված է անհարկի որ հաճախ է դիտվում ալս դարերի վիմագրության մեջ և ապացույց է որ ե է աճականի նշանակութլունն արդեն մթագնած էր,վիմագրության,31.0,Divan_Prak6,էտվաք,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O"
նրա և իր ամուսին աւթայի խաչարձանը ընդարձակ տապանագրով գտնվում է գավթի արևելլան պատի տակ սույն պրակի,տապանագրով,33.0,Divan_Prak6,նրա,O,"O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O"
գիտելիք նվիրագիրը փորագրված է խաչատար վարդապետ տարոնացու առաջնորդաթյան ժամանակ թ սակայն ինչպես արդեն նշել ենք բնագրի ծանոթադրության մեջ ալս թվականը հակասոմ է գավթի կառուցման մասին աթաբեկ իվանեի արձանագրաթյանը ըստ որի վիմարդեան գավիթը կառուցվել է զաքարիալի հիշատակին նրա մահվանից հետո,նվիրագիրը,36.0,Divan_Prak6,գիտելիք,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ալստեղ հեղինակը առաջարկում է եղած դրերը համարել երկու տարեթիվ՝ ի լ թ և թվ շի թ ըստ այդմ ենթադրելով որ առաջինը՝ թ եկեղեցու վերանորոգման թվականն է իսկ երկրորդը՝ թ նրա կառուցման,վերանորոգման,46.0,Divan_Prak6,ալստեղ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O"
նվիրագիրը ժամանակամերձ է եկեղեցու շինությանը,նվիրագիրը,48.0,Divan_Prak6,նվիրագիրը,B-INSC,"B-INSC,O,O,O,O"
գիտելիք նվիրագիրը ժամանակամերձ է եկեղեցու շինությանը,նվիրագիրը,49.0,Divan_Prak6,գիտելիք,O,"O,B-INSC,O,O,O,O"
գիտելիք նվիրագիրը ժամանակամերձ է եկեզեցու շինությանը,նվիրագիրը,50.0,Divan_Prak6,գիտելիք,O,"O,B-INSC,O,O,O,O"
բնագիրն անավարտ է մնագիտելիք նվիրագիրը ժամանակամերձ է եկեղեցուշ,նվիրագիրը,52.0,Divan_Prak6,բնագիրն,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,B-INSC,O,O,O"
գիտելիք ինչպես նշել ենք այս նվիրագիրը վերաբերում է աստվածածին եկեղեցու շինության ժամանակներին տեր յովանէսի և վարդապետ սարգսի վանահալրության տարիներին,նվիրագիրը,52.0,Divan_Prak6,գիտելիք,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O"
լուսանկ գիտելիք ինչպես նշել ենք կունեն գյուղատեղի աստվածածին եկեղեցու շինարարական արձանաղրության մեկնարանության մեջ այս բնագրի թվականը ճշգրտման կարիք ունիե,շինարարական արձանաղրության,57.0,Divan_Prak6,լուսանկ,O,"O,O,O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O"
նախ նվիրագրի հեղինակի մասին ընդօրինակողների մեծ մասն ալստեղ կարդացել է ես՝ կուտակիչ եւ արարող սնունդ սրբոցս ըստ որում վերականգնելով բնագրում չեղած բազմաթիվ գրեր,նվիրագրի,60.0,Divan_Prak6,նախ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
այսպիսով բնագրում կուտակիչ բառը չի կարդացվում և դրա փոխարեն անհրաժևշտ է վերծանել նվիրագրի հեղինակի անունը՝ կուտաս կամ կուտան,նվիրագրի,60.0,Divan_Prak6,այսպիսով,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O"
դահեկան սովորական դրամի փոխարեն իտալական դուկատ հիշատակված է նաև մբենի և կեչառիսի գարի վիմագրերում և ըստ հ մանանդյանի վկալում է հալ վաճառականների առևտրական կապերը վենետիկի հանրապետության գործարար շրջանների հետ,վիմագրերում,74.0,Divan_Prak6,դահեկան,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ալսպիսով ըննվող նվիրագիրը ևս պետք է ժամանակամերձ լինի թ,նվիրագիրը,76.0,Divan_Prak6,ալսպիսով,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
եոյն անունը քանիցս վկալված է նաե հաղբատի վանքի վիմագրերում տրական հոլովաձևով՝ ասլանափին,վիմագրերում,79.0,Divan_Prak6,եոյն,O,"O,O,O,O,O,O,O,O,B-INSC,O,O,O"
լմանրամասնությունները տես ս ավագյանի նորահայտ վիմական արձանագրություն ումեկյան առհմի մասին հոգվածում բանրեր երևանիհամալսարանի էջ,վիմական արձանագրություն,84.0,Divan_Prak6,լմանրամասնությունները,O,"O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O"
հետաքրքիր է որ նույն նըվիրագիրը փոքր ինչ ալլ ձևակերպումով կարմբաներկով գրվամ ն գետիկ զանքի գավթի կամարի վրա,նըվիրագիրը,88.0,Divan_Prak6,հետաքրքիր,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O"
դիտելիք դեռ հարությանլանը նկատել է որ այս նվիրագրի հեղինակը ն գետիկի վարդապետ ս դանձակեցի պատմիչն է,նվիրագիր,93.0,Divan_Prak6,դիտելիք,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
եյալսնա գիտելիք այս նվիրագիրը նույն բովանդակումխհողս,նվիրագիր,94.0,Divan_Prak6,եյալսնա,O,"O,O,O,O,O,O"
գետք է ենթադրել որ այս նվիրագրի հեղինակ գրիգորը կապալեցի գրիգոր մեծահարուսա իշխանն է որ ինչպես տեսանք արձանագրության բացատրականում իր միջոցներով ավարտել էր ս գրիգոր եկեղեցու շինությունը,նվիրագիր,102.0,Divan_Prak6,գետք,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գրիգոր կապալեցու անունով մի նվիրագիր էլ փորագրված է հաղարծնի վանքի կաթողիկէ եկեղեցու արևմտյան պատին սայն պրակի,նվիրագիր,102.0,Divan_Prak6,գրիգոր,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O"
սակալն ինչպես ակներև է ալս վիմագրից բարիմադինի դուստր իգդիշ խաթունը և որդիներ արղութն ու թաղադամուրը դարավերջին հիշատակված են իբրե այս վանքի ե մերձակալքի տերեր պարոններ,Վիմագիր,107.0,Divan_Prak6,սակալն,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
