sentence,term,word,tag,word_labels
հնագետ եղիազարյանը հավանական է համարում որ անեցու հիշատակած թվականներին կառուցվել է կաթողիկեն իսկ վիմագրում վկայված տարեթվերը վերաբերում են միաժամանակ կառուցված մի քանի շինություններին որ են հյուսիսային եկեղեցին ու կաթողիկեին արևմուտքից կից գավիթը,վիմագրում,հնագետ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ ապուղամը մագիստրոսը հայրն է անիի և ծիրակի արքեպիսկոպոս գրիգորի որը հիշատակված է բթ վիմագրերում,վիմագրերում,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC"
ծանոթ վիմագիրը մկրտիչ ս խրիմյան հայրիկի օրոք իրականացված շինարարական աշխատանքների քարեղեն ապացույցն է միաթռիչք կամուրջը կառուցվել է ոմն գասպար սողոմոնյանի միջոցներով ու ջանասիրությամբ իսկ որմնադիրը այսինքն՝ պատշարը ակոբ ապաջյաննէ,վիմագիրը,ծանոթ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ օրբելին ինչպես և մենք այս և հաջորդ վիմագրերը տեղում չենք նկատել ուստի ներկայացնում ենք կ բասմաջյանի վերծանությունները,վիմագրերը,ծանոթ,O,"O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O"
ծուպուլի որդի սիմեոնը հիշատակվում էր նաև լմբատավանքի վիմագրերից մեկում արձ խմբ,վիմագրերից,ծուպուլի,O,"O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ակնհայտ է որ վիմագիրը վկայում է մի քանի նվիրատվությունների մասին,վիմագիրը,ակնհայտ,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ հրատարակել է միայն ակադ ն սառը ռուսերեն որը չնկատելով առաջին տողում առկա ն թվագիրը վիմագիրը համարել էանթվական սակայն նկատի առնելով վաղարշապատի քքաղաքուդաշտ անունով հիշատակումը ինչպես նաև լեզվաոճական անհարթություններն ու այլ պատմական իրողություններ թվագրել է դարով,վիմագիրը,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
վիմագիրը փաստում է որ ս կարապետի և ս ստեփանոս նախավկայի անունները կրող տածարը նորոգվել է թ վաղարշապատից ժամանած հակոբ քահանայի նախաձեռնությամբ կամ միջոցներով,վիմագիրը,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
հ եղիազարյան սարմաշենի վանքը և նրա վիմագրությունները էջմիածին ե էջ,վիմագրությունները,հ,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O"
շինարարական վիմագրում եկեղեցու հիմնարկման թվականը կարդալով նևե իրականում՝ նլէ խմբ իսկ ավարտը թ թորամանյանը,վիմագրում,շինարարական,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գ եղիազարյան սարմաշենի վանքը և նրա վիմագրությունները,վիմագրությունները,գ,O,"O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O"
գքյուրտյանը այս վիմագիրը նույնպես հարկ չի համարել ներկայացնել քանի որ հրատարակուած է շիրակ ի մէջ,Վիմագիր,գքյուրտյանը,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
այդ վիմագրերը վերջերս հրատարակվեցին մատենադարանի ավագ գիտաշխատող արմեն տեր ստեփանյանի աշխատասիրությամբ,վիմագրերը,այդ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ հովհ նահխաթունյանցը չունի թվականը իսկ ս ջալալյանցն ուղ ալիշանը ոխ հ եղիազարյանն ու գ հառիճեցին ուե իսկ ս գեորգյանցըև հ քյուրտյանի վիմագրահավաքը ոխե,վիմագրահավաքը,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O"
որպես ուղենիշ ունենալով ս բարխուդարյանի կազմած պրակի ձեռագիրը և դաշտային օրագիրը նաև նկատառելով հուշարձանների պահպանվածության և վիմագրերի վերծանության գրեթե հիսնամյա հեռավորությամբ պայմանավորված իրողությունները տեղում համեմատել վիմագրերը,վիմագրերի,որպես,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
թյուրտյանի վիմագրահավաքը նվիրատուիանունը կարդացել էեատ ախէկ գ հառիճեցին տ աղեկ,վիմագրահավաքը,թյուրտյանի,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
անհրաժեշտության դեաքում թվային ծոտոխցիկներով լուսանկարել պրակում լուսանկար չունեցող կամ անորակ լուսանկարված վիմագրերը,վիմագրերը,անհրաժեշտության,O,"O,O,O,O,O,O,O,O,O,O,O,B-INSC"
դատելով բովանդակությունից արծանագրությունը պիտի ավարտվեր նվիրագրերին հատուկ նզովքի բանածևով որից մի փոքր հատված պահպանվել է,նվիրագիր,դատելով,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գրիգոր առաջնորդի տապանագրի թվականի ուշադիր զննումը թույլ տվեց այն վերծանել ուը թ,տապանագրի,գրիգոր,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O"
նինությունների որմերին առկա են դ բազմաթիվ նվիրագրեր ու հիշատակագրություններ ինչը չի կարելի ասել հետագա դարերի մասին,նվիրագիր,նինությունների,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գերեզմանատներից հին տապանաքարերը անմշակ և անտապանագիր են մյուսները նույնպես միայն րդ դարի տապանագրեր ունեն,տապանագրեր,գերեզմանատներից,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ատեր ստեփանյան վիմագրերը սատենադարանի ձեռագրերում վարձք,վիմագրերը,ատեր,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O"
եթե խաչի ձորի վիմագրերը թերևս չէին կարող լինել քանի որ դրանք հետագայում էին հայտնաբերվել ապա բուն մարմաշենի խիստ արժեքավոր վկայագրերին չանդրադարձը՝ տարակուսելի է,վիմագրերը,եթե,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
վերծանության մեջ խնդիր է ստեղծում և մ տառերի որոշ նմանությունը ստայլկ սմայ այ իրսն բառի առաջին տառի կիսեղծ լինելը ու վերջին ն տառի կցագրությունը ինչը չնայած ս տառի աջ ստեղնի վերևում ն ի վերին կիսակլորիթույլ արտահայտվածությանը կասկածէհարուցում քանի որ վիմագրում,վիմագրում,վերծանության,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC"
նույն վիմագիրը տեղեկություններ է հաղորդում նաև վանքի պարսպապատման մասին որից ներկայումս մի փոքր հատվածէ պահպանվել,Վիմագիր,նույն,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
թվագրման կապակցությամբ նա գտնում է որ հինգերորդտողի բարեխոսութեան և վեցերորդի՝ հավատացելոց բառերում ո և վ տառերի գործածությունը համապատասխանաբար աւ ի և ի փոխարեն հուշում է այն մասին որ վիմագիրն ավելի ուշ շրջանի փորագրություն է,վիմագիրն,թվագրման,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ձեռագրի հառիճավանքի վիմագրերը սույն հատորում կրում են հետկյալ կարգային համարները ի իս ժե էբ էա,վիմագրերը,ձեռագրի,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ոգեվանքի որմերին և ներսում հավաքված կոթողների բեկորներին պահպանվել են մեկ տասնյակից ավելի վիմագրեր կիսեղծ վիմակում ինչը մասամբ պայմանավորված է տուֆաքարի որակով,վիմագրեր,ոգեվանքի,O,"O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ քյուրտյանը վիմագիրը համեմատելով ալիշանի հրապարակման հետ գրում է տարբերութիւն չկայ բացի միայն վերը յառաջ բերուած մասեն որով աւելորդ նկատեցի ամբողջ արձծանագրութիւնը տալ հոս,Վիմագիր,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
մեծ հետաքրքրություն է ներկայացնում մեր դիտարկմամբ վիմագրերում առաջին անգամ հանդիպող արդիւնարար բառեզրը որը մեկնաբանվում է երկրագործ մշակ վաստակաւոր ժիր և փոյթ ի գործ հասարակած եղև այր արդիւնարար նբհ հ էջ,Վիմագիր,մեծ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ուշագրավ է նաև վիմագրում բառանջատումը փոքր խաչանշաններով արտահայտելու ձևը,վիմագրում,ուշագրավ,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
կառույցի որմերին պահպանվել են դ վիմագրեր որոնցից մեկն ունի պատմական որոշակի հետաքրքրություն հարկ համարեցինք դրանք զետեղել պրակում,վիմագրեր,կառույցի,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ վիմագրի համածայն եկեղեցին երկրորդ անգամ նորոգվել է դեռևս ին ներսես ե աշտարակեցի կաթողիկոսի և եկեղեցու նորընծա նորօծյալ քահանա տեր գրիգորի օրոք,վիմագրի,ծանոթ,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
մեր այս տեսակետը հիմնավորվում է վիմագրում հիշատակված անձանց և իրադարձությունների ժամանակագրության մոտավոր ճշգրտմամբ,վիմագրում,մեր,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
եղիազարյանը վիմագրի սաստիկ մաշված ու ջարդոտված լինելու հետևանքով վերծանությունը վերցրել ղ ալիշանից այն դեպքում երբ այն առկա ալիշանին նախորդածհեղինակների մոտ,Վիմագիր,եղիազարյանը,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
վիմագրի բովանդակության մասին ս բարխուդարյանը գրում է հետեյալը,վիմագրի,վիմագրի,B-INSC,"B-INSC,O,O,O,O,O,O,O"
նկատառելովանվան եզակիությունը և գործունեության աշխարհագրական մերձակայությունը կարծում ենք որ տիրաշենի ուրտուրիտան մրենի համանուն տիկինն է ըստ այդմ է վիմագիրը կարելի էթվագրել ական թվականներով,վիմագիրը,նկատառելովանվան,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O"
գասպարյան ռուբեն գաւրգ հիշատակված է փակագրի ձևով գէորգ առաջնորդ հոգեվանքի,փակագիր արձանագրություն,գասպարյան,O,"O,O,O,O,O,O,O,O,O,O"
վիմագրի թվագրման հարցում ս բարխուդարյանի մատնանշումը սպասալարների օրոք բավական պայմանական է,վիմագրի,վիմագրի,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O"
ծանոթ չափածո տապանագրից պարզվում է որ տեր համբարձում գրիգորյանը ծագումով ալեքսանդրապոլի գավառի իլխինապ իլխիաբ իլխիաբի գյուղից է որը ներկայիս ախուրյանի տարածաշրջանի այգաբաց գյուղն է տեղանունների բառարան էջ,տապանագրից,ծանոթ,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
վիմագիրը տառաձևերով բավական նման է նախորդին կարծում ենք ժամանակամերծ է հնարավոր է որ փորագրված է նույն գրչի կողմից,վիմագիրը,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գյուղի եկեղեցին վիմագրերով աչքիչի ընկնում,վիմագրերով,գյուղի,O,"O,O,B-INSC,O,O"
աւագտիկին հիշատակված է բագնայրի վանքի մի նվիրագրում,նվիրագիր,աւագտիկին,O,"O,O,O,O,O,O,O"
բավական վատ է պահպանվել վիմագրի աջ հատվածը ըստ այդմ կ վերծանությունը թեական է,վիմագրի,բավական,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,O"
վիմագիրը փաստում է որ եփրեմ մ աշա կաթողիկոսի օրոք ռուսաց նիկոլայ կայսրը հաղթական պատարա մղել ինչպես պարսից այնպես էլ օսմանյան բանակների դեմ իր տիրապետությունն ըդարնակեո կարինու մինչ ի թավրեզ,վիմագիրը,վիմագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գ հառիճեցու մոտ վիմագիրը սկզբից և վերջից պակասավոր է,վիմագիրը,գ,O,"O,O,O,B-INSC,O,O,O,O,O"
դառնալով վիմագրում վկայակոչված պատմական իրադարձության քննու,վիմագրում,դառնալով,O,"O,B-INSC,O,O,O,O,O,O,O,O,O,O"
մելքոնյանն իր հոդվածում հիշատակում է հյուսիսային հրմի բարավորի կամարակապ քարին պահպանված թ ը թվագիրը մելքոնյան էջ իսկ նույն որմի արևելյան մասում ելնդատառ բայց եղծված հետեյալ երկտող վիմագիրը յո,վիմագիրը,մելքոնյանն,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O"
կառուցել աջնորդության ժամա գեղիազարյան հառիճա վանքը և նրա վիմագրությունը էջմիածին ը թ էջ,վիմագրությունը,կառուցել,O,"O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ վիմագիրը տիրամոր յոթ վերքը սրբապատկերի դեգերումների քարեղեն վկայությունն է ըստ որի էրզրումի նահանգի համանուն գավառի ասանղալա գյուղի ս աստվածածին վանքից թ պողոս ծայրագույն վարդապետի ձեռքով այն բերվել է հառիճավանք որտեղ ավելի քան երկու տասնամյակ մնալուց հետո ներսես ե աշտարակեցի կաթողիկոսի հրամանով տեղափոխվել է ս էջմիածին,Վիմագիր,ծանոթ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ամակառույցի վիմագրերը ներկայացված են օրբելու վերծանությունների հիմամբ և նրա կարճառոտ ծանոթագրություններով,վիմագրերը,ամակառույցի,O,"O,B-INSC,O,O,O,O,O,O,O,O,O"
այս արհեստավարժ քարգործին անդրադարձել է ս բարխուդարյանը մ վ էջ դարիգրիչներից առաջինը հիշում է նրան հիմք ընդունելով բագնայրի վանքի ս աստվածածին եկեղեցու արևմտյան մուտքի ծախ կողմում արտաքուստ ավագտիկնոջ նվիրատվական քառատող արձանագրությունը որը ստորագրել է մանասէ գրիչ ը կ բասմաջյան հասբս էջ,Նվիրատվական արձանագրություն,այս,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
գլխավոր ս կարապետ եկեղեցին ըստ հյուսիսային մուտքի բարավորի արձանագրության կառուցվել է թ,բարավորի արձանագրության,գլխավոր,O,"O,O,O,O,O,O,O,B-INSC,I-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
այսչափ առատհուշարծձաններիշարքում պատմամարտարապետականբնութագրովև վիմագրերի առկայությամբ հատկանշելի է միակ վանական համակարույցը՝ հոգեվանքը որը թիկնել է գյուղ տանող ճանապարհի աջ կողմի բլրալանջին,վիմագրեր,այսչափ,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ամալիրի բարգաված ու աշխույժ վանական կյանքի մասին են վկայում վիմագրում պահպանված գանծագին այգիների օշականից դողսից աշտարակից կարբիից վժանից ներկայիս ուջան սերկպլիից մրենից ագարակների ջաղացների տներ կուղպակների ավանդման փաստի առնչությամբ հիշատակությունները,վիմագրում,ամալիրի,O,"O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ծանոթ այս տապանագիրը մեզ չհաջողվեց գտնել ուստի վկայակոչում ենք ըստ նախորդ հրատարակչի,տապանագիրը,ծանոթ,O,"O,O,B-INSC,O,O,O,O,O,O,O,O,O"
տապանագիրը վերջում անավարտ էմնում կամ փորագրիչը պարզապես չի շարունակել,տապանագիրը,տապանագիրը,B-INSC,"B-INSC,O,O,O,O,O,O,O,O"
սենք ևս այս և վերոնշյալ տապանագրերը տեղում չգտանք,տապանագրերը,սենք,O,"O,O,O,O,O,B-INSC,O,O"
հ օրբելին հրատարակել է այս վիմագիրն ընդգրկող շինաքարերից միայն մեկին պահպանված հատվածը,վիմագիրն,հ,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O"
յավոք երկուսն էլ չեն ներկայացրել վիմագրի ամբողջական վերծանությունը՝ և ինչպես ս բարխուռարյանն է նշում արծանագրության վերականգնման աշխատանքը թողնում ենք ներկայացնում ենք գծագիր պատճեն,վիմագրի,յավոք,O,"O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
սև շրջանակներով նշված են այն բնակավայրերը որտեղից պրակում վիմագրեր են ներառվել,վիմագրեր,սև,O,"O,O,O,O,O,O,O,O,B-INSC,O,O"
վկայագիրնաչքիէընկնումուշագրավուհազվադեպհանդիպող փաստերովու արտահայտություններով զաքարեն հիշված է իր բոլոր պաշտոնական տիտղոսներով ամիրսպասալար շաֆնէայ եւ մանդատորթախուցայս վիմագրերում խիստ սակավ է հիշատակվում սարգիս զաքարյանի կնոջ քուրդ մահկանաբերդցի իշխանի դուստր սահակադուխտի անունը սկզբնադբյուրներում առաջին անգամ է վկայված բռնավորաց հարկ սոցիալ իրավական բառեզրը որն առայժմ դժվարանում ենք մեկնաբանել,վիմագրերում,վկայագիրնաչքիէընկնումուշագրավուհազվադեպհանդիպող,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
տիրացու կարապետը թերևս վիմագրում վկայվածհամանուն քանդակագործնէ ըստ այդմ պարզվում էնաև կարապետի տիրապետած արհեստը,վիմագրում,տիրացու,O,"O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
ցանոթ տապանագիրն առաջինհայացքից անավարտէ,տապանագիրն,ցանոթ,O,"O,B-INSC,O,O,O,O,O,O"
ավագյան վաբ ս ավագյան վիմական արձանագրությունների բառաքննություն երևան,վիմական արձանագրություն,ավագյան,O,"O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O"
թ վանքի ամյատարելիցիկապակցությամբ հուշարձան տարեգրքիխմբագրությունը նպատակահարմար գտավ հրապարակել վանքի վիմագրերը թվով ՝ քաղված հ օրբելու հրատարակությունից և ի նորո ստուգված բնագրերով,վիմագրերը,թ,O,"O,O,O,O,O,O,O,O,O,B-INSC,O,O,O,O,O,O,O,O,O,O,O"
ամասիա գյուղում հյուրանոցին կից շենքի հիմքերն են փորում այժմ որտեղից դուրս են եկել նենգավթի տիպի լավ կերամիկայի բեկորներ և մի հատ թրծած կավե խոյի գլուխ առաջի իրար միացած ոտներով ետևի մասը կոտրված մի ականջով և առանց եղջյուրների,,ամասիա,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
սա քիչ հավանական ենք համարում,,սա,O,"O,O,O,O,O"
ի սկզբանէ բաժանված լինելով ախուրյան գետով որը հատկապես վերջին դարերում նաև վարչաքաղաքական սահման էր դարձել գավառը բնականորեն բաժանվել էր արևմտյան ու արևելյան նիրակի,,ի,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
նիրակը պատմական հայաստանի այրարատ նահանգի հյուսիսային գավառներից է,,նիրակը,O,"O,O,O,O,O,O,O,O"
ս բարխուդարյանը ձեռագրին նախաբան կամ առաջաբան չի կցել ուստի նպատակահարմար գտանք այն զետեղել,,ս,O,"O,O,O,O,O,O,O,O,O,O,O,O,O"
արք աց լա ը յիշան հիրա ս ախիրաքյ իանինս մ,,արք,O,"O,O,O,O,O,O,O,O,O,O"
միգուցե ս բարխուդարյանը լիովին վստահել է իր ավագ և հռչակավոր գործընկեր հովսեփ օրբելու վերծանություններին ու ավելորդ համարել դրանք գրի առնել ու մեկ անգամ ևս հրատարակել,,միգուցե,O,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
անակնկալ էր և ձեռագիր պրակում և նույնիսկ դաշտային օրագրում սմարմաշենի արձանագրությունների բացակայությունը,,անակնկալ,O,"O,O,O,O,O,O,O,O,O,O,O,O"
վերջիններիս կարգային համարին դրված է աստղանիշ,,վերջիններիս,O,"O,O,O,O,O,O"
